split	context_len	region	shard_index	available_windows	target_windows
train	32768	three_prime_utr	0	33193	256
train	32768	three_prime_utr	1	32912	253
train	32768	three_prime_utr	2	32867	253
train	32768	three_prime_utr	3	32902	253
train	32768	three_prime_utr	4	33187	255
train	32768	three_prime_utr	5	33255	256
train	32768	three_prime_utr	6	32758	252
train	32768	three_prime_utr	7	33489	258
train	32768	three_prime_utr	8	33067	255
train	32768	three_prime_utr	9	33020	254
train	32768	three_prime_utr	10	32930	253
train	32768	three_prime_utr	11	32976	254
train	32768	intron	0	552769	1016
train	32768	intron	1	553756	1018
train	32768	intron	2	552343	1016
train	32768	intron	3	553136	1017
train	32768	intron	4	552849	1017
train	32768	intron	5	552994	1017
train	32768	intron	6	553560	1018
train	32768	intron	7	554751	1020
train	32768	intron	8	554220	1019
train	32768	intron	9	553576	1018
train	32768	intron	10	552245	1015
train	32768	intron	11	552483	1016
train	32768	gene	0	109778	253
train	32768	gene	1	110174	254
train	32768	gene	2	110246	254
train	32768	gene	3	110374	255
train	32768	gene	4	110500	255
train	32768	gene	5	109882	254
train	32768	gene	6	110447	255
train	32768	gene	7	110240	254
train	32768	gene	8	110858	256
train	32768	gene	9	109713	253
train	32768	gene	10	110599	255
train	32768	gene	11	110295	254
train	32768	mrna	0	22977	154
train	32768	mrna	1	22848	153
train	32768	mrna	2	22770	153
train	32768	mrna	3	22658	152
train	32768	mrna	4	22615	151
train	32768	mrna	5	22615	151
train	32768	mrna	6	22655	152
train	32768	mrna	7	22953	154
train	32768	mrna	8	22929	154
train	32768	mrna	9	22693	152
train	32768	mrna	10	22846	153
train	32768	mrna	11	22732	152
train	32768	transcript	0	415	104
train	32768	transcript	1	380	95
train	32768	transcript	2	418	105
train	32768	transcript	3	390	98
train	32768	transcript	4	416	104
train	32768	transcript	5	419	105
train	32768	transcript	6	413	103
train	32768	transcript	7	441	110
train	32768	transcript	8	420	105
train	32768	transcript	9	418	105
train	32768	transcript	10	376	94
train	32768	transcript	11	374	93
train	32768	background	0	7044	765
train	32768	background	1	6996	760
train	32768	background	2	7070	768
train	32768	background	3	7168	778
train	32768	background	4	6843	743
train	32768	background	5	7105	771
train	32768	background	6	6974	757
train	32768	background	7	7015	762
train	32768	background	8	7075	768
train	32768	background	9	6908	750
train	32768	background	10	7094	770
train	32768	background	11	7031	763
validation	32768	all	0	352688	4183
validation	32768	all	1	351157	4164
validation	32768	all	2	351641	4170
validation	32768	all	3	351623	4170
validation	32768	all	4	350826	4161
validation	32768	all	5	350609	4158
validation	32768	all	6	351465	4168
validation	32768	all	7	351240	4165
validation	32768	all	8	350982	4162
validation	32768	all	9	351051	4163
validation	32768	all	10	351476	4168
validation	32768	all	11	351456	4168
test	32768	all	0	192493	4173
test	32768	all	1	192224	4168
test	32768	all	2	191981	4162
test	32768	all	3	192382	4171
test	32768	all	4	192633	4176
test	32768	all	5	191622	4154
test	32768	all	6	191739	4157
test	32768	all	7	192925	4183
test	32768	all	8	192355	4170
test	32768	all	9	191723	4157
test	32768	all	10	191918	4161
test	32768	all	11	192256	4168
train	65536	cds	0	961587	2673
train	65536	cds	1	960695	2670
train	65536	cds	2	960173	2669
train	65536	cds	3	960413	2670
train	65536	cds	4	961006	2671
train	65536	cds	5	959805	2668
train	65536	cds	6	961093	2671
train	65536	cds	7	961399	2672
train	65536	cds	8	960940	2671
train	65536	cds	9	962306	2675
train	65536	cds	10	960209	2669
train	65536	cds	11	958346	2664
train	65536	exon	0	230917	1329
train	65536	exon	1	232072	1336
train	65536	exon	2	232216	1336
train	65536	exon	3	232639	1339
train	65536	exon	4	231927	1335
train	65536	exon	5	231979	1335
train	65536	exon	6	231714	1333
train	65536	exon	7	231536	1332
train	65536	exon	8	232250	1337
train	65536	exon	9	232496	1338
train	65536	exon	10	232279	1337
train	65536	exon	11	232016	1335
train	65536	five_prime_utr	0	33009	446
train	65536	five_prime_utr	1	32768	443
train	65536	five_prime_utr	2	32981	446
train	65536	five_prime_utr	3	32825	443
train	65536	five_prime_utr	4	32935	445
train	65536	five_prime_utr	5	33193	448
train	65536	five_prime_utr	6	32930	445
train	65536	five_prime_utr	7	32767	443
train	65536	five_prime_utr	8	32837	444
train	65536	five_prime_utr	9	32675	441
train	65536	five_prime_utr	10	33118	447
train	65536	five_prime_utr	11	33206	449
train	65536	three_prime_utr	0	33013	446
train	65536	three_prime_utr	1	32870	444
train	65536	three_prime_utr	2	32943	445
train	65536	three_prime_utr	3	32914	445
train	65536	three_prime_utr	4	32828	444
train	65536	three_prime_utr	5	33039	446
train	65536	three_prime_utr	6	32965	446
train	65536	three_prime_utr	7	33084	447
train	65536	three_prime_utr	8	32506	439
train	65536	three_prime_utr	9	32798	443
train	65536	three_prime_utr	10	33147	448
train	65536	three_prime_utr	11	33151	448
train	65536	intron	0	548237	1779
train	65536	intron	1	548517	1779
train	65536	intron	2	549088	1781
train	65536	intron	3	549370	1782
train	65536	intron	4	548206	1778
train	65536	intron	5	548812	1780
train	65536	intron	6	549017	1781
train	65536	intron	7	549529	1783
train	65536	intron	8	549299	1782
train	65536	intron	9	548461	1779
train	65536	intron	10	548954	1781
train	65536	intron	11	547818	1777
train	65536	gene	0	109456	445
train	65536	gene	1	108933	443
train	65536	gene	2	109609	446
train	65536	gene	3	109394	445
train	65536	gene	4	109303	445
train	65536	gene	5	108707	442
train	65536	gene	6	109654	446
train	65536	gene	7	109388	445
train	65536	gene	8	109726	447
train	65536	gene	9	109769	447
train	65536	gene	10	109472	445
train	65536	gene	11	109368	445
train	65536	mrna	0	22322	262
train	65536	mrna	1	22749	268
train	65536	mrna	2	22837	269
train	65536	mrna	3	22625	266
train	65536	mrna	4	22598	266
train	65536	mrna	5	22905	269
train	65536	mrna	6	22850	269
train	65536	mrna	7	22644	266
train	65536	mrna	8	22730	267
train	65536	mrna	9	22665	267
train	65536	mrna	10	22628	266
train	65536	mrna	11	22890	269
train	65536	transcript	0	435	192
train	65536	transcript	1	419	185
train	65536	transcript	2	398	175
train	65536	transcript	3	434	191
train	65536	transcript	4	385	170
train	65536	transcript	5	395	174
train	65536	transcript	6	419	185
train	65536	transcript	7	437	193
train	65536	transcript	8	354	156
train	65536	transcript	9	376	166
train	65536	transcript	10	405	178
train	65536	transcript	11	389	171
train	65536	background	0	3378	1312
train	65536	background	1	3425	1330
train	65536	background	2	3389	1316
train	65536	background	3	3433	1333
train	65536	background	4	3494	1357
train	65536	background	5	3451	1340
train	65536	background	6	3533	1372
train	65536	background	7	3553	1380
train	65536	background	8	3385	1314
train	65536	background	9	3454	1341
train	65536	background	10	3375	1311
train	65536	background	11	3388	1316
validation	65536	all	0	346661	4152
validation	65536	all	1	347962	4168
validation	65536	all	2	347853	4167
validation	65536	all	3	347509	4163
validation	65536	all	4	348393	4173
validation	65536	all	5	348138	4170
validation	65536	all	6	348252	4171
validation	65536	all	7	348259	4172
validation	65536	all	8	346852	4155
validation	65536	all	9	347928	4168
validation	65536	all	10	348477	4174
validation	65536	all	11	347924	4167
test	65536	all	0	181581	4156
test	65536	all	1	181885	4163
test	65536	all	2	181096	4145
test	65536	all	3	182571	4179
test	65536	all	4	182434	4176
test	65536	all	5	181160	4146
test	65536	all	6	183106	4191
test	65536	all	7	182065	4167
test	65536	all	8	182494	4177
test	65536	all	9	182538	4178
test	65536	all	10	181598	4156
test	65536	all	11	181996	4166
