split	context_len	region	shard_index	available_windows	target_windows
train	8192	cds	0	977509	12251
train	8192	cds	1	977623	12252
train	8192	cds	2	978135	12259
train	8192	cds	3	977880	12255
train	8192	cds	4	978467	12263
train	8192	cds	5	978169	12259
train	8192	cds	6	978469	12263
train	8192	cds	7	978538	12264
train	8192	cds	8	978537	12264
train	8192	cds	9	979528	12276
train	8192	cds	10	976528	12239
train	8192	cds	11	976656	12240
train	8192	exon	0	235523	6164
train	8192	exon	1	234935	6149
train	8192	exon	2	234934	6149
train	8192	exon	3	234904	6148
train	8192	exon	4	234321	6133
train	8192	exon	5	235190	6155
train	8192	exon	6	235350	6160
train	8192	exon	7	235082	6152
train	8192	exon	8	235653	6167
train	8192	exon	9	234999	6150
train	8192	exon	10	235646	6167
train	8192	exon	11	234949	6149
train	8192	five_prime_utr	0	33643	2115
train	8192	five_prime_utr	1	33313	2095
train	8192	five_prime_utr	2	33141	2084
train	8192	five_prime_utr	3	32946	2072
train	8192	five_prime_utr	4	33274	2092
train	8192	five_prime_utr	5	32935	2071
train	8192	five_prime_utr	6	32862	2066
train	8192	five_prime_utr	7	33282	2093
train	8192	five_prime_utr	8	32951	2072
train	8192	five_prime_utr	9	33177	2086
train	8192	five_prime_utr	10	33387	2099
train	8192	five_prime_utr	11	32906	2069
train	8192	three_prime_utr	0	33108	2083
train	8192	three_prime_utr	1	33154	2086
train	8192	three_prime_utr	2	33251	2092
train	8192	three_prime_utr	3	33320	2096
train	8192	three_prime_utr	4	33117	2083
train	8192	three_prime_utr	5	33302	2095
train	8192	three_prime_utr	6	33308	2096
train	8192	three_prime_utr	7	32977	2075
train	8192	three_prime_utr	8	33024	2078
train	8192	three_prime_utr	9	32947	2073
train	8192	three_prime_utr	10	33211	2089
train	8192	three_prime_utr	11	32878	2068
train	8192	intron	0	559026	8194
train	8192	intron	1	558341	8184
train	8192	intron	2	559363	8199
train	8192	intron	3	558629	8188
train	8192	intron	4	557577	8173
train	8192	intron	5	558537	8187
train	8192	intron	6	558800	8190
train	8192	intron	7	558485	8186
train	8192	intron	8	559762	8205
train	8192	intron	9	558414	8185
train	8192	intron	10	557917	8178
train	8192	intron	11	558613	8188
train	8192	gene	0	110999	2078
train	8192	gene	1	111395	2086
train	8192	gene	2	111159	2081
train	8192	gene	3	111174	2082
train	8192	gene	4	111648	2090
train	8192	gene	5	111041	2079
train	8192	gene	6	111337	2085
train	8192	gene	7	111496	2088
train	8192	gene	8	111337	2085
train	8192	gene	9	111697	2091
train	8192	gene	10	111361	2085
train	8192	gene	11	111285	2084
train	8192	mrna	0	22590	1257
train	8192	mrna	1	22969	1278
train	8192	mrna	2	22843	1271
train	8192	mrna	3	22794	1268
train	8192	mrna	4	22864	1272
train	8192	mrna	5	22958	1277
train	8192	mrna	6	22950	1277
train	8192	mrna	7	22775	1267
train	8192	mrna	8	22838	1271
train	8192	mrna	9	22574	1256
train	8192	mrna	10	23106	1285
train	8192	mrna	11	22833	1270
train	8192	transcript	0	416	416
train	8192	transcript	1	410	410
train	8192	transcript	2	442	442
train	8192	transcript	3	409	409
train	8192	transcript	4	429	429
train	8192	transcript	5	412	412
train	8192	transcript	6	444	444
train	8192	transcript	7	380	380
train	8192	transcript	8	415	415
train	8192	transcript	9	427	427
train	8192	transcript	10	379	379
train	8192	transcript	11	399	399
train	8192	background	0	27217	6208
train	8192	background	1	26691	6089
train	8192	background	2	27073	6176
train	8192	background	3	26792	6112
train	8192	background	4	26995	6158
train	8192	background	5	26948	6147
train	8192	background	6	26715	6094
train	8192	background	7	26983	6155
train	8192	background	8	27337	6236
train	8192	background	9	26879	6131
train	8192	background	10	27102	6182
train	8192	background	11	26984	6155
validation	8192	all	0	358482	4157
validation	8192	all	1	359609	4171
validation	8192	all	2	358369	4156
validation	8192	all	3	358338	4156
validation	8192	all	4	358870	4162
validation	8192	all	5	359371	4168
validation	8192	all	6	359314	4167
validation	8192	all	7	359369	4168
validation	8192	all	8	360090	4176
validation	8192	all	9	359914	4174
validation	8192	all	10	359014	4164
validation	8192	all	11	360532	4181
test	8192	all	0	205057	4184
test	8192	all	1	205234	4187
test	8192	all	2	203997	4162
test	8192	all	3	204145	4165
test	8192	all	4	204161	4165
test	8192	all	5	204565	4174
test	8192	all	6	204354	4169
test	8192	all	7	203777	4157
test	8192	all	8	203705	4156
test	8192	all	9	203645	4155
test	8192	all	10	204299	4168
test	8192	all	11	203821	4158
train	16384	cds	0	974340	3051
train	16384	cds	1	975045	3053
train	16384	cds	2	974887	3053
train	16384	cds	3	974521	3052
train	16384	cds	4	973893	3050
train	16384	cds	5	975533	3055
train	16384	cds	6	974431	3052
train	16384	cds	7	976432	3058
train	16384	cds	8	972940	3047
train	16384	cds	9	974102	3050
train	16384	cds	10	973003	3047
train	16384	cds	11	974841	3053
train	16384	exon	0	234179	1524
train	16384	exon	1	233929	1523
train	16384	exon	2	234613	1527
train	16384	exon	3	234256	1525
train	16384	exon	4	234564	1527
train	16384	exon	5	234659	1527
train	16384	exon	6	234749	1528
train	16384	exon	7	234077	1523
train	16384	exon	8	234250	1525
train	16384	exon	9	233979	1523
train	16384	exon	10	234949	1529
train	16384	exon	11	234991	1529
train	16384	five_prime_utr	0	33359	512
train	16384	five_prime_utr	1	33282	511
train	16384	five_prime_utr	2	33052	508
train	16384	five_prime_utr	3	33019	507
train	16384	five_prime_utr	4	33155	509
train	16384	five_prime_utr	5	33196	510
train	16384	five_prime_utr	6	32959	506
train	16384	five_prime_utr	7	32979	507
train	16384	five_prime_utr	8	33115	509
train	16384	five_prime_utr	9	32876	505
train	16384	five_prime_utr	10	33149	509
train	16384	five_prime_utr	11	33282	511
train	16384	three_prime_utr	0	32829	504
train	16384	three_prime_utr	1	33219	510
train	16384	three_prime_utr	2	33270	511
train	16384	three_prime_utr	3	33161	510
train	16384	three_prime_utr	4	33371	513
train	16384	three_prime_utr	5	32974	507
train	16384	three_prime_utr	6	33103	509
