metric	name	count	fraction
split	test	2184524	0.07360782
split	train	23319149	0.78574171
split	validation	4174208	0.14065047
region	background	54115	0.00182341
region	cds	14719593	0.49597857
region	exon	3641433	0.12269855
region	five_prime_utr	479127	0.01614425
region	gene	1660437	0.05594864
region	intron	8267376	0.27857029
region	mrna	367798	0.01239300
region	three_prime_utr	479565	0.01615900
region	transcript	8437	0.00028429
total	all	29677881	1.00000000
