metric	name	count	fraction
split	test	2450760	0.07968102
split	train	23995104	0.78014754
split	validation	4311272	0.14017144
region	background	417004	0.01355796
region	cds	15090276	0.49062683
region	exon	3731972	0.12133679
region	five_prime_utr	486707	0.01582420
region	gene	1699920	0.05526913
region	intron	8465378	0.27523297
region	mrna	370546	0.01204748
region	three_prime_utr	486690	0.01582364
region	transcript	8643	0.00028101
total	all	30757136	1.00000000
