split	context_len	region	shard_index	available_windows	target_windows
train	65536	three_prime_utr	3	32914	51
train	65536	three_prime_utr	4	32828	51
train	65536	three_prime_utr	5	33039	51
train	65536	three_prime_utr	6	32965	51
train	65536	three_prime_utr	7	33084	51
train	65536	three_prime_utr	8	32506	50
train	65536	three_prime_utr	9	32798	51
train	65536	three_prime_utr	10	33147	51
train	65536	three_prime_utr	11	33151	51
train	65536	intron	0	548237	203
train	65536	intron	1	548517	203
train	65536	intron	2	549088	204
train	65536	intron	3	549370	204
train	65536	intron	4	548206	203
train	65536	intron	5	548812	203
train	65536	intron	6	549017	204
train	65536	intron	7	549529	204
train	65536	intron	8	549299	204
train	65536	intron	9	548461	203
train	65536	intron	10	548954	204
train	65536	intron	11	547818	203
train	65536	gene	0	109456	51
train	65536	gene	1	108933	50
train	65536	gene	2	109609	51
train	65536	gene	3	109394	51
train	65536	gene	4	109303	51
train	65536	gene	5	108707	50
train	65536	gene	6	109654	51
train	65536	gene	7	109388	51
train	65536	gene	8	109726	51
train	65536	gene	9	109769	51
train	65536	gene	10	109472	51
train	65536	gene	11	109368	51
train	65536	mrna	0	22322	30
train	65536	mrna	1	22749	31
train	65536	mrna	2	22837	31
train	65536	mrna	3	22625	30
train	65536	mrna	4	22598	30
train	65536	mrna	5	22905	31
train	65536	mrna	6	22850	31
train	65536	mrna	7	22644	30
train	65536	mrna	8	22730	31
train	65536	mrna	9	22665	30
train	65536	mrna	10	22628	30
train	65536	mrna	11	22890	31
train	65536	transcript	0	435	22
train	65536	transcript	1	419	21
train	65536	transcript	2	398	20
train	65536	transcript	3	434	22
train	65536	transcript	4	385	19
train	65536	transcript	5	395	20
train	65536	transcript	6	419	21
train	65536	transcript	7	437	22
train	65536	transcript	8	354	18
train	65536	transcript	9	376	19
train	65536	transcript	10	405	20
train	65536	transcript	11	389	20
train	65536	background	0	3378	150
train	65536	background	1	3425	152
train	65536	background	2	3389	151
train	65536	background	3	3433	152
train	65536	background	4	3494	155
train	65536	background	5	3451	153
train	65536	background	6	3533	157
train	65536	background	7	3553	158
train	65536	background	8	3385	150
train	65536	background	9	3454	153
train	65536	background	10	3375	150
train	65536	background	11	3388	150
validation	65536	all	0	346661	4152
validation	65536	all	1	347962	4168
validation	65536	all	2	347853	4167
validation	65536	all	3	347509	4163
validation	65536	all	4	348393	4173
validation	65536	all	5	348138	4170
validation	65536	all	6	348252	4171
validation	65536	all	7	348259	4172
validation	65536	all	8	346852	4155
validation	65536	all	9	347928	4168
validation	65536	all	10	348477	4174
validation	65536	all	11	347924	4167
test	65536	all	0	181581	4156
test	65536	all	1	181885	4163
test	65536	all	2	181096	4145
test	65536	all	3	182571	4179
test	65536	all	4	182434	4176
test	65536	all	5	181160	4146
test	65536	all	6	183106	4191
test	65536	all	7	182065	4167
test	65536	all	8	182494	4177
test	65536	all	9	182538	4178
test	65536	all	10	181598	4156
test	65536	all	11	181996	4166
train	131072	cds	0	949714	534
train	131072	cds	1	949811	534
train	131072	cds	2	948128	533
train	131072	cds	3	951152	534
train	131072	cds	4	949907	534
train	131072	cds	5	952156	535
