metric	name	count	fraction
split	test	2392336	0.07866900
split	train	23754605	0.78114075
split	validation	4263206	0.14019025
region	background	214590	0.00705653
region	cds	15017269	0.49382428
region	exon	3712572	0.12208333
region	five_prime_utr	485245	0.01595668
region	gene	1691589	0.05562581
region	intron	8424939	0.27704368
region	mrna	370045	0.01216847
region	three_prime_utr	485319	0.01595911
region	transcript	8579	0.00028211
total	all	30410147	1.00000000
