metric	name	count	fraction
split	test	2038185	0.06970522
split	train	23061944	0.78871050
split	validation	4139933	0.14158428
region	background	26616	0.00091026
region	cds	14507294	0.49614443
region	exon	3597511	0.12303363
region	five_prime_utr	474604	0.01623129
region	gene	1637475	0.05600108
region	intron	8147079	0.27862728
region	mrna	365775	0.01250938
region	three_prime_utr	475382	0.01625790
region	transcript	8326	0.00028475
total	all	29240062	1.00000000
