split	context_len	region	available_windows	target_windows	target_tokens	sampling_fraction_of_available
train	8192	cds	11736039	36621	299999232	0.00312039
train	8192	exon	2821486	18310	149995520	0.00648949
train	8192	five_prime_utr	397817	6104	50003968	0.01534374
train	8192	three_prime_utr	397597	6104	50003968	0.01535223
train	8192	intron	6703464	24414	199999488	0.00364200
train	8192	gene	1335929	6104	50003968	0.00456911
train	8192	mrna	274094	3662	29999104	0.01336038
train	8192	transcript	4962	2441	19996672	0.49193873
train	8192	background	323716	18310	149995520	0.05656192
validation	8192	all	4311272	50000	409600000	0.01159751
test	8192	all	2450760	50000	409600000	0.02040183
train	32768	cds	11621961	18310	599982080	0.00157547
train	32768	exon	2799651	9155	299991040	0.00327005
train	32768	five_prime_utr	396663	3052	100007936	0.00769419
train	32768	three_prime_utr	396556	3052	100007936	0.00769626
train	32768	intron	6638682	12207	399998976	0.00183877
train	32768	gene	1323106	3052	100007936	0.00230669
train	32768	mrna	273291	1831	59998208	0.00669982
train	32768	transcript	4880	1221	40009728	0.25020492
train	32768	background	84323	9155	299991040	0.10857062
validation	32768	all	4216214	50000	1638400000	0.01185898
test	32768	all	2306251	50000	1638400000	0.02168021
train	65536	cds	11527972	32043	2099970048	0.00277959
train	65536	exon	2784041	16022	1050017792	0.00575494
train	65536	five_prime_utr	395244	5340	349962240	0.01351064
train	65536	three_prime_utr	395258	5341	350027776	0.01351269
train	65536	intron	6585308	21362	1399980032	0.00324389
train	65536	gene	1312779	5341	350027776	0.00406847
train	65536	mrna	272443	3204	209977344	0.01176026
train	65536	transcript	4846	2136	139984896	0.44077590
train	65536	background	41258	16022	1050017792	0.38833681
validation	65536	all	4174208	50000	3276800000	0.01197832
test	65536	all	2184524	50000	3276800000	0.02288828
