metric	name	count	fraction
split	test	2306251	0.07671756
split	train	23539113	0.78302985
split	validation	4216214	0.14025258
region	background	110027	0.00366005
region	cds	14889946	0.49531485
region	exon	3679994	0.12241520
region	five_prime_utr	482822	0.01606110
region	gene	1678398	0.05583200
region	intron	8359769	0.27808816
region	mrna	369170	0.01228046
region	three_prime_utr	482953	0.01606546
region	transcript	8499	0.00028272
total	all	30061578	1.00000000
